# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
C38D4.7,chrIII,-,4809994,4811125,-20.0,0.0,-17.2,2.8,12,27,9,19.0,21.0,C38D4.7,WBGene00008007,Public name for WBGene00008007. History: N.A.
Y116A8C.32,chrIV,-,17104171,17110937,-19.8,0.0,-17.1,3.8,8,18,4,20.0,21.0,Y116A8C.32,WBGene00013808,Sequence name for WBGene00013808(sfa-1). History: Renamed on 2006-09-01
T04C10.4,chrX,-,14809080,14810770,-19.8,0.0,-17.1,3.8,8,18,4,20.0,20.0,T04C10.4,WBGene00000221,"Sequence name for WBGene00000221(atf-4). History: Split into T04C10.11(WBGene00303075). History of WBGene00000221: Split into ""WBGene00303075"" on 2018-03-02; Renamed on 2019-07-15"
M04G12.4b,chrV,-,13386056,13391376,-19.8,0.0,-17.1,3.8,8,18,4,20.0,20.0,M04G12.4b,WBGene00010868,Molecule name for WBGene00010868(somi-1). History: N.A.
Y40B10A.8,chrV,-,2061133,2066844,-19.6,0.0,-17.0,2.5,14,32,12,20.0,21.0,Y40B10A.8,WBGene00003676,Sequence name for WBGene00003676(nhr-86). History: N.A.
ZK1010.6,chrIII,-,12984382,12987382,-19.3,0.0,-16.8,4.2,7,16,3,20.0,22.0,ZK1010.6,WBGene00014180,"Public name for WBGene00014180. History: Split into ZK1010.12(WBGene00271703). History of WBGene00014180: Split into ""WBGene00271703"" on 2017-04-28"
Y59A8B.20,chrV,-,17995318,18001326,-19.3,0.0,0.0,6.2,5,11,1,20.0,20.0,Y59A8B.20,WBGene00013352,Sequence name for WBGene00013352(lon-8). History: N.A.
F10B5.6,chrII,-,8159793,8162102,-19.3,0.0,0.0,6.2,5,11,1,20.0,21.0,F10B5.6,WBGene00001281,Sequence name for WBGene00001281(emb-27). History: N.A.
F43E2.1,chrII,+,7375218,7377520,-19.3,0.0,-20.8,1.4,34,78,54,20.0,21.0,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
D1046.1,chrIV,+,8926316,8930297,-19.2,0.0,-20.8,3.4,7,16,4,21.0,21.0,D1046.1,WBGene00008362,"Sequence name for WBGene00008362(cfim-2). History: Split into D1046.18(WBGene00255595). History of WBGene00008362: Split into ""WBGene00255595"" on 2014-09-03"
F26F4.9a,chrIII,+,4912170,4914092,-19.2,0.0,-20.8,3.4,7,16,4,21.0,20.0,F26F4.9a,WBGene00017829,Molecule name for WBGene00017829(F26F4.9). History: N.A.
R119.3,chrI,-,377478,381905,-19.2,0.0,-16.7,2.9,11,25,8,20.0,21.0,R119.3,WBGene00020089,Public name for WBGene00020089. History: N.A.
ZK688.8,chrIII,-,7914245,7917698,-19.1,0.0,0.0,4.9,6,14,2,22.0,21.0,ZK688.8,WBGene00001628,Sequence name for WBGene00001628(gly-3). History: N.A.
C36E8.3,chrIII,+,4006119,4009939,-19.0,0.0,-20.6,1.6,23,52,32,20.0,21.0,C36E8.3,WBGene00007982,Sequence name for WBGene00007982(pxd-1). History: N.A.
Y40B10A.1b,chrV,+,2068449,2069143,-18.9,0.0,-20.6,1.6,24,55,34,20.0,22.0,Y40B10A.1b,WBGene00021486,Molecule name for WBGene00021486(lbp-9). History: N.A.
C27H5.3,chrII,+,7152506,7155414,-18.9,0.0,-20.6,2.0,15,34,17,21.0,22.0,C27H5.3,WBGene00016173,Sequence name for WBGene00016173(fust-1). History: N.A.
F15D4.6,chrII,+,13249117,13249763,-18.6,0.0,-20.3,2.2,12,27,12,19.0,20.0,F15D4.6,WBGene00008863,Public name for WBGene00008863. History: N.A.
C38D9.2,chrV,+,17566407,17571571,-18.3,0.0,-20.0,1.8,18,41,23,20.0,20.0,C38D9.2,WBGene00008010,Public name for WBGene00008010. History: N.A.
F44F1.7,chrI,+,13269983,13272769,-18.2,0.0,0.0,3.7,6,14,3,19.0,20.0,F44F1.7,WBGene00006902,"Sequence name for WBGene00006902(vet-6). History: N.A.. Public name for Dead gene WBGene00009699. History of WBGene00009699: Merged into ""WBGene00006902"" on 2004-07-16"
ZK256.1b,chrI,+,13004426,13023560,-18.2,0.0,0.0,3.7,6,14,3,23.0,20.0,ZK256.1b,WBGene00004063,Molecule name for WBGene00004063(pmr-1). History: N.A.
T16G12.8,chrIII,+,10059196,10061813,-18.2,0.0,0.0,3.7,6,14,3,20.0,21.0,T16G12.8,WBGene00011809,"Public name for WBGene00011809. History: Split into T16G12.13(WBGene00306001). History of WBGene00011809: Split into ""WBGene00306001"" on 2020-01-21"
F55D10.3,chrX,+,4712250,4715049,-18.0,0.0,-19.8,2.4,10,23,9,19.0,21.0,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
F10G7.3,chrII,+,4702057,4703200,-18.0,0.0,-19.7,1.6,22,50,31,20.0,21.0,F10G7.3,WBGene00006817,"Sequence name for WBGene00006817(unc-85). History: Renamed on 2008-06-05. Public name for Dead gene WBGene00017368. History of WBGene00017368: Merged into ""WBGene00006817"" on 2008-06-05"
T16H12.11,chrIII,-,10087117,10088439,-17.9,0.0,-15.5,2.6,12,27,10,20.0,21.0,T16H12.11,WBGene00011819,Sequence name for WBGene00011819(hal-2). History: N.A.
Y73B6BL.5c,chrIV,+,6329562,6333538,-17.8,0.0,-19.6,1.9,14,32,16,20.0,21.0,Y73B6BL.5c,WBGene00004783,Molecule name for WBGene00004783(seu-1). History: N.A.
K05C4.7,chrI,+,14737690,14738722,-17.7,0.0,-19.6,2.7,8,18,6,20.0,20.0,K05C4.7,WBGene00010583,Public name for WBGene00010583. History: N.A.
R144.9,chrIII,+,5021189,5021859,-17.7,0.0,-19.6,2.7,8,18,6,21.0,21.0,R144.9,WBGene00007015,Sequence name for WBGene00007015(mdt-11). History: N.A.
F53A3.4b,chrIII,+,1931972,1939557,-17.7,0.0,-19.6,2.7,8,18,6,21.0,22.0,F53A3.4b,WBGene00004128,Molecule name for WBGene00004128(pqn-41). History: N.A.
Y71G12B.9b,chrI,+,1755330,1766401,-17.7,0.0,-19.6,2.7,8,18,6,21.0,24.0,Y71G12B.9b,WBGene00022149,Molecule name for WBGene00022149(lin-65). History: N.A.
D2030.6.1,chrI,-,7585324,7588362,-17.5,0.0,-15.2,1.7,33,75,45,20.0,21.0,D2030.6.1,WBGene00004178,Molecule name for WBGene00004178(prg-1). History: N.A.
B0284.3,chrIII,-,4379339,4381012,-17.5,0.0,-15.2,1.6,38,87,54,19.0,20.0,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
C18G1.5,chrV,+,4754299,4755455,-17.4,0.0,-19.3,1.2,57,130,107,20.0,22.0,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
F53F4.4,chrV,+,13594075,13598252,-17.4,0.0,-19.3,2.2,11,25,11,19.0,19.0,F53F4.4,WBGene00009988,Public name for WBGene00009988. History: N.A.
F53G12.4,chrI,+,134337,137282,-17.4,0.0,-19.3,2.2,11,25,11,20.0,21.0,F53G12.4,WBGene00018772,Public name for WBGene00018772. History: N.A.
K05C4.8,chrI,+,14732413,14733536,-17.4,0.0,0.0,4.1,5,11,2,20.0,19.0,K05C4.8,WBGene00010584,Public name for WBGene00010584. History: N.A.
ZK1067.8,chrII,+,9213624,9214342,-17.4,0.0,0.0,4.1,5,11,2,20.0,20.0,ZK1067.8,WBGene00014208,"Public name for Dead gene WBGene00014212. History of WBGene00014212: Merged into ""WBGene00014208"" on 2011-01-21"
B0547.1,chrIV,+,5649516,5651066,-17.4,0.0,0.0,4.1,5,11,2,20.0,22.0,B0547.1,WBGene00000817,Sequence name for WBGene00000817(csn-5). History: N.A.
T02C12.3,chrIII,+,4022139,4025595,-17.4,0.0,0.0,4.1,5,11,2,21.0,22.0,T02C12.3,WBGene00011368,Sequence name for WBGene00011368(tftc-5). History: N.A.
Y39A3CL.1,chrIII,+,1834502,1846747,-17.4,0.0,0.0,4.1,5,11,2,19.0,21.0,Y39A3CL.1,WBGene00021440,Public name for WBGene00021440. History: N.A.
R02D3.2,chrIV,+,240552,244129,-17.4,0.0,0.0,4.1,5,11,2,21.0,20.0,R02D3.2,WBGene00019820,Sequence name for WBGene00019820(cogc-8). History: N.A.
T27C4.4c,chrV,+,3704982,3712772,-17.2,0.0,-19.1,1.7,17,39,22,20.0,21.0,,,
F22H10.5,chrX,-,16686232,16688328,-17.1,0.0,-15.0,2.6,11,25,9,19.0,20.0,F22H10.5,WBGene00017729,"Public name for WBGene00017729. History: Split into F22H10.11(WBGene00255607). History of WBGene00017729: Split into ""WBGene00255607"" on 2014-12-15"
F23B12.8,chrV,-,14453289,14456869,-17.1,0.0,-15.0,2.6,11,25,9,19.0,21.0,F23B12.8,WBGene00000257,Sequence name for WBGene00000257(bmk-1). History: N.A.
C01G10.1,chrV,+,15100311,15104366,-17.0,0.0,0.0,7.8,3,7,0,20.0,,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
C56A3.5,chrV,+,13551894,13553352,-17.0,0.0,0.0,7.8,3,7,0,22.0,,C56A3.5,WBGene00008344,Public name for WBGene00008344. History: N.A.
C17E4.4,chrI,+,9419415,9419990,-17.0,0.0,0.0,7.8,3,7,0,21.0,,C17E4.4,WBGene00007644,Sequence name for WBGene00007644(mjl-1). History: N.A.
Y73C8C.3,chrV,+,3115302,3118127,-17.0,0.0,0.0,7.8,3,7,0,20.0,,Y73C8C.3,WBGene00022262,Public name for WBGene00022262. History: N.A.
F31A9.4,chrX,+,1779434,1780523,-17.0,0.0,0.0,7.8,3,7,0,24.0,,F31A9.4,WBGene00017942,Sequence name for WBGene00017942(fbxc-37). History: N.A.
Y119D3B.8,chrIII,+,1239274,1242728,-17.0,0.0,0.0,7.8,3,7,0,19.0,,Y119D3B.8,WBGene00022486,Sequence name for WBGene00022486(fbxa-61). History: N.A.
H34C03.2,chrIV,+,6757295,6762572,-17.0,0.0,-19.0,1.6,19,43,26,21.0,22.0,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
Y45F10A.2,chrIV,-,13510282,13512135,-17.0,0.0,-15.0,2.4,13,30,12,20.0,21.0,Y45F10A.2,WBGene00004239,Sequence name for WBGene00004239(puf-3). History: N.A.
Y38A8.3,chrII,-,4955632,4959861,-17.0,0.0,-15.0,2.4,13,30,12,21.0,21.0,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
R12E2.10,chrI,-,4168988,4171590,-17.0,0.0,-15.0,2.4,13,30,12,21.0,22.0,R12E2.10,WBGene00020035,Sequence name for WBGene00020035(egg-5). History: N.A.
C50F4.11,chrV,-,9541756,9544199,-17.0,0.0,-15.0,3.2,8,18,5,21.0,20.0,C50F4.11,WBGene00003160,Sequence name for WBGene00003160(mdf-1). History: Renamed on 2013-11-19
Y39G10AR.18b,chrI,-,2382966,2401489,-17.0,0.0,-15.0,3.2,8,18,5,20.0,21.0,Y39G10AR.18b,WBGene00021474,Molecule name for WBGene00021474(dot-1.1). History: N.A.
R10E11.1b,chrIII,+,9766415,9774723,-16.9,0.0,-19.0,1.6,21,48,30,20.0,21.0,R10E11.1b,WBGene00000366,Molecule name for WBGene00000366(cbp-1). History: N.A.
F25B5.2,chrIII,+,5958725,5962267,-16.9,0.0,-19.0,1.6,21,48,30,20.0,21.0,F25B5.2,WBGene00017774,Sequence name for WBGene00017774(nop-1). History: N.A.
F54A3.1,chrII,+,2249408,2253961,-16.9,0.0,-19.0,1.6,21,48,30,21.0,21.0,F54A3.1,WBGene00018781,"Public name for Dead gene WBGene00018780. History of WBGene00018780: Merged into ""WBGene00018781"" on 2010-05-28"
C05C10.5c,chrII,+,9939077,9940260,-16.8,0.0,-18.9,2.4,9,21,8,21.0,21.0,C05C10.5c,WBGene00007332,Molecule name for WBGene00007332(C05C10.5). History: N.A.
F53G12.7,chrI,+,115739,117438,-16.8,0.0,-18.9,2.4,9,21,8,20.0,23.0,F53G12.7,WBGene00000622,Sequence name for WBGene00000622(col-45). History: N.A.
Y41C4A.17,chrIII,+,11641342,11641742,-16.8,0.0,0.0,5.1,4,9,1,23.0,24.0,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
C05C8.2,chrV,+,7231172,7232731,-16.8,0.0,0.0,5.1,4,9,1,20.0,19.0,C05C8.2,WBGene00015461,Sequence name for WBGene00015461(krr-1). History: N.A.
C45B2.5,chrX,+,6058214,6060191,-16.8,0.0,0.0,5.1,4,9,1,21.0,23.0,C45B2.5,WBGene00001602,Sequence name for WBGene00001602(gln-1). History: N.A.
C27A2.1,chrII,+,5062122,5067086,-16.8,0.0,0.0,5.1,4,9,1,20.0,22.0,C27A2.1,WBGene00016151,Sequence name for WBGene00016151(smc-5). History: N.A.
Y67H2A.4a,chrIV,+,13297612,13300035,-16.6,0.0,-18.7,2.8,7,16,5,21.0,21.0,,,
Y39E4B.1,chrIII,+,13153697,13160137,-16.6,0.0,-18.7,2.8,7,16,5,21.0,21.0,Y39E4B.1,WBGene00012714,Sequence name for WBGene00012714(abce-1). History: N.A.
B0001.5,chrIV,-,12141131,12143300,-16.4,0.0,-14.6,2.1,16,36,17,19.0,20.0,B0001.5,WBGene00007090,Public name for WBGene00007090. History: N.A.
T05H10.6a.2,chrII,+,8062673,8068038,-16.4,0.0,-18.5,1.8,14,32,17,21.0,21.0,T05H10.6a.2,WBGene00011510,Molecule name for WBGene00011510(pdha-1). History: N.A.
F57G4.9,chrV,-,17643850,17644733,-16.3,0.0,-14.6,2.6,10,23,8,19.0,19.0,F57G4.9,,Sequence name for Suppressed gene WBGene00010213. Molecular name for Suppressed gene WBGene00010213. Public name for Suppressed gene WBGene00010213. History of WBGene00010213: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H16D19.4,chrI,-,12640727,12644416,-16.3,0.0,-14.6,2.6,10,23,8,21.0,20.0,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
F25H2.5,chrI,-,10553101,10553902,-16.3,0.0,-14.6,2.6,10,23,8,21.0,20.0,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
ZK484.5,chrI,-,6087371,6087766,-16.3,0.0,-14.6,3.4,7,16,4,20.0,21.0,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
Y48G1C.5,chrI,-,55316,64021,-16.2,0.0,-14.6,2.2,14,32,14,19.0,20.0,Y48G1C.5,WBGene00021678,Public name for WBGene00021678. History: N.A.
F13C5.2,chrX,+,593961,596290,-16.2,0.0,-18.4,1.8,15,34,19,21.0,20.0,F13C5.2,WBGene00017423,Public name for WBGene00017423. History: N.A.
Y39A1B.3,chrIII,+,10763029,10777225,-16.2,0.0,-18.4,2.2,10,23,10,21.0,21.0,Y39A1B.3,WBGene00001087,Sequence name for WBGene00001087(dpy-28). History: N.A.
F10G7.2,chrII,+,4706801,4710154,-16.1,0.0,-18.3,1.7,16,36,21,20.0,21.0,F10G7.2,WBGene00006626,Sequence name for WBGene00006626(tsn-1). History: N.A.
ZK632.7,chrIII,+,9819192,9823018,-16.1,0.0,-18.3,1.3,33,75,56,21.0,22.0,ZK632.7,WBGene00014015,Sequence name for WBGene00014015(panl-3). History: N.A.
F08F8.3b,chrIII,+,7336514,7343559,-16.0,0.0,-18.3,1.7,17,39,23,21.0,21.0,F08F8.3b,WBGene00002182,Molecule name for WBGene00002182(kap-1). History: N.A.
K08D12.2,chrIV,+,1711277,1714177,-15.9,0.0,-18.1,1.3,37,84,65,21.0,22.0,K08D12.2,WBGene00019536,Sequence name for WBGene00019536(rpi-2). History: N.A.
F20D12.2,chrIV,+,7948657,7953531,-15.7,0.0,-18.1,2.0,11,25,12,21.0,22.0,F20D12.2,WBGene00017642,Public name for WBGene00017642. History: N.A.
B0244.8,chrIII,+,5728130,5730110,-15.7,0.0,-18.1,2.0,11,25,12,20.0,22.0,B0244.8,WBGene00015083,Sequence name for WBGene00015083(egg-1). History: N.A.
Y38C1AA.12,chrIV,+,192265,194737,-15.7,0.0,-18.1,2.0,11,25,12,19.0,20.0,Y38C1AA.12,WBGene00021402,Public name for WBGene00021402. History: N.A.
Y65B4BL.7,chrI,-,508975,510840,-15.6,0.0,0.0,3.7,6,14,3,19.0,19.0,Y65B4BL.7,WBGene00022039,Public name for WBGene00022039. History: N.A.
Y116A8C.42,chrIV,+,17088012,17088790,-15.6,0.0,-18.0,2.4,8,18,7,21.0,21.0,Y116A8C.42,WBGene00004914,Sequence name for WBGene00004914(snr-1). History: N.A.
T25E12.4c,chrV,+,16747531,16788387,-15.6,0.0,-18.0,2.4,8,18,7,21.0,24.0,T25E12.4c,WBGene00012019,Molecule name for WBGene00012019(dkf-2). History: N.A.
K04F10.7,chrI,+,6366363,6368084,-15.6,0.0,-18.0,2.4,8,18,7,20.0,21.0,K04F10.7,WBGene00019399,Public name for WBGene00019399. History: N.A.
K10F12.3a,chrIII,+,365948,377550,-15.6,0.0,-18.0,2.4,8,18,7,20.0,21.0,K10F12.3a,WBGene00004045,Molecule name for WBGene00004045(pll-1). History: N.A.
F52G3.3,chrX,-,16944794,16947943,-15.5,0.0,0.0,7.8,3,7,0,21.0,,F52G3.3,WBGene00018711,Public name for WBGene00018711. History: N.A.
F36D3.4,chrV,-,16516454,16517677,-15.5,0.0,0.0,7.8,3,7,0,20.0,,F36D3.4,WBGene00009470,Public name for WBGene00009470. History: N.A.
ZC247.1,chrI,-,10264308,10279224,-15.5,0.0,0.0,7.8,3,7,0,18.0,,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
F36A2.2,chrI,-,8801741,8804689,-15.5,0.0,0.0,7.8,3,7,0,21.0,,F36A2.2,WBGene00009452,Public name for WBGene00009452. History: N.A.
D1022.7a,chrII,-,7472669,7478474,-15.5,0.0,0.0,7.8,3,7,0,20.0,,D1022.7a,WBGene00000101,Molecule name for WBGene00000101(aka-1). History: N.A.
Y39A3CL.6,chrIII,-,1821189,1824103,-15.5,0.0,0.0,7.8,3,7,0,22.0,,Y39A3CL.6,WBGene00004249,Sequence name for WBGene00004249(pvf-1). History: N.A.
F07G6.6,chrX,-,1710289,1711208,-15.5,0.0,0.0,7.8,3,7,0,21.0,,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
F20B6.5,chrX,-,4198586,4199905,-15.5,0.0,-13.9,2.7,9,21,7,19.0,20.0,F20B6.5,WBGene00017629,Public name for WBGene00017629. History: N.A.
D1043.1,chrII,+,11582763,11588442,-15.4,0.0,-18.0,1.9,12,27,14,22.0,21.0,D1043.1,WBGene00008361,Sequence name for WBGene00008361(ints-7). History: N.A.
M88.6b,chrIII,+,4562705,4566239,-15.4,0.0,-18.0,1.9,12,27,14,19.0,21.0,M88.6b,WBGene00003915,Molecule name for WBGene00003915(pan-1). History: N.A.
T06A10.1,chrIV,+,16862354,16865434,-15.4,0.0,-18.0,2.9,6,14,4,21.0,21.0,T06A10.1,WBGene00020284,Sequence name for WBGene00020284(mel-46). History: N.A.
R05H10.2,chrII,+,14857162,14866491,-15.4,0.0,-18.0,2.9,6,14,4,20.0,21.0,R05H10.2,WBGene00011043,Sequence name for WBGene00011043(rbm-28). History: N.A.
T25B9.10,chrIV,+,10769623,10777723,-15.4,0.0,-18.0,2.9,6,14,4,21.0,20.0,T25B9.10,WBGene00012016,Sequence name for WBGene00012016(inpp-1). History: N.A.
ZK945.3,chrII,+,10100233,10102982,-15.4,0.0,-18.0,2.9,6,14,4,21.0,20.0,ZK945.3,WBGene00014165,Sequence name for WBGene00014165(puf-12). History: N.A.
F59B2.6,chrIII,+,9002700,9004750,-15.4,0.0,-18.0,2.9,6,14,4,21.0,22.0,F59B2.6,WBGene00006977,Sequence name for WBGene00006977(zif-1). History: N.A.
C03A7.2,chrV,+,5181896,5183701,-15.4,0.0,-18.0,2.9,6,14,4,19.0,20.0,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
W02G9.5,chrV,+,2658032,2660776,-15.4,0.0,-18.0,2.9,6,14,4,19.0,22.0,W02G9.5,WBGene00020955,Sequence name for WBGene00020955(angl-1). History: N.A.
W03F9.10,chrV,+,128237,131739,-15.4,0.0,-18.0,2.9,6,14,4,21.0,21.0,W03F9.10,WBGene00021004,Sequence name for WBGene00021004(sftb-2). History: N.A.
Y48C3A.11,chrII,-,13340675,13347793,-15.4,0.0,-13.8,2.2,13,30,13,19.0,20.0,Y48C3A.11,WBGene00012993,Sequence name for WBGene00012993(dmsr-3). History: N.A.
Y43D4A.6,chrIV,+,16787285,16788468,-15.2,0.0,-17.9,1.8,13,30,16,19.0,20.0,Y43D4A.6,WBGene00012792,Public name for WBGene00012792. History: N.A.
F09E8.3,chrIV,+,13155196,13164020,-15.2,0.0,-17.9,1.8,13,30,16,20.0,23.0,F09E8.3,WBGene00003421,Sequence name for WBGene00003421(msh-5). History: N.A.
F44B9.6,chrIII,-,8016577,8020802,-15.1,0.0,0.0,4.1,5,11,2,20.0,20.0,F44B9.6,WBGene00003021,Sequence name for WBGene00003021(lin-36). History: N.A.
W09G10.4b,chrII,-,3532596,3546425,-15.1,0.0,0.0,4.1,5,11,2,20.0,20.0,W09G10.4b,WBGene00000162,Molecule name for WBGene00000162(apd-3). History: N.A.
F13D12.4a,chrII,+,11728866,11731139,-15.1,0.0,-17.7,1.7,14,32,18,20.0,21.0,F13D12.4a,WBGene00000114,Molecule name for WBGene00000114(alh-8). History: N.A.
C37A2.4b,chrI,+,6780807,6784360,-15.1,0.0,-17.7,1.7,14,32,18,20.0,22.0,C37A2.4b,WBGene00000871,Molecule name for WBGene00000871(cye-1). History: Renamed on 2015-03-05
F42A10.2b,chrIII,+,6159787,6164518,-15.0,0.0,-17.7,1.7,15,34,20,19.0,21.0,F42A10.2b,WBGene00003593,Molecule name for WBGene00003593(nfm-1). History: N.A.
C41G7.4,chrI,+,9519249,9521181,-15.0,0.0,-17.7,2.2,9,21,9,21.0,22.0,C41G7.4,WBGene00008062,Sequence name for WBGene00008062(set-32). History: Renamed on 2007-05-03
ZC395.3a,chrIII,+,5275184,5277756,-15.0,0.0,-17.7,2.2,9,21,9,20.0,21.0,ZC395.3a,WBGene00006590,Molecule name for WBGene00006590(toc-1). History: N.A.
Y116A8C.36,chrIV,+,17119639,17126193,-14.9,0.0,-17.7,1.6,16,36,22,20.0,21.0,Y116A8C.36,WBGene00006405,Sequence name for WBGene00006405(itsn-1). History: N.A.
Y37D8A.11a,chrIII,-,12875651,12877457,-14.9,0.0,0.0,5.1,4,9,1,19.0,21.0,Y37D8A.11a,WBGene00012551,Molecule name for WBGene00012551(cec-7). History: N.A.
Y47D3A.17d,chrIII,-,11257189,11270741,-14.9,0.0,0.0,5.1,4,9,1,22.0,21.0,Y47D3A.17d,WBGene00012930,Molecule name for WBGene00012930(obr-1). History: N.A.
F55A3.7,chrI,-,10785117,10787852,-14.9,0.0,0.0,5.1,4,9,1,20.0,18.0,F55A3.7,WBGene00018852,Public name for WBGene00018852. History: N.A.
Y47G6A.29,chrI,-,3578694,3600679,-14.9,0.0,0.0,5.1,4,9,1,20.0,24.0,Y47G6A.29,WBGene00003060,"Public name for Dead gene WBGene00021652. History of WBGene00021652: Merged into ""WBGene00003060"" on 2014-09-03"
F53E10.6,chrV,-,2602202,2603064,-14.9,0.0,0.0,5.1,4,9,1,20.0,20.0,F53E10.6,WBGene00018762,Public name for WBGene00018762. History: N.A.
C06G3.2,chrIV,+,7040195,7043678,-14.7,0.0,-17.4,1.4,27,62,45,21.0,21.0,C06G3.2,WBGene00002228,Sequence name for WBGene00002228(klp-18). History: N.A.
Y75B8A.22.1,chrIII,-,12240247,12250039,-14.6,0.0,-13.3,2.7,8,18,6,20.0,21.0,Y75B8A.22.1,WBGene00006571,Molecule name for WBGene00006571(tim-1). History: N.A.
R09B3.3,chrI,-,11910318,11911011,-14.6,0.0,-13.3,2.7,8,18,6,19.0,22.0,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
H35N09.2,chrX,-,8603464,8606162,-14.6,0.0,-13.3,2.7,8,18,6,20.0,21.0,H35N09.2,WBGene00019266,Public name for WBGene00019266. History: N.A.
F38A5.2a,chrIV,-,6582687,6585555,-14.6,0.0,-13.3,2.7,8,18,6,21.0,22.0,F38A5.2a,WBGene00018161,Molecule name for WBGene00018161(F38A5.2). History: N.A.
C14B9.4a,chrIII,+,8101273,8104002,-14.6,0.0,-17.3,1.4,26,59,43,21.0,22.0,,,
Y48E1A.1b,chrII,-,13670546,13694690,-14.5,0.0,-13.3,2.2,12,27,12,20.0,22.0,Y48E1A.1b,WBGene00012999,Molecule name for WBGene00012999(rpoa-1). History: N.A.
C36F7.5,chrI,-,9574794,9576015,-14.5,0.0,-13.3,2.2,12,27,12,20.0,20.0,C36F7.5,WBGene00007986,Public name for WBGene00007986. History: N.A.
F53G2.6,chrII,-,2460867,2472863,-14.5,0.0,-13.3,2.2,12,27,12,22.0,21.0,F53G2.6,WBGene00006647,Sequence name for WBGene00006647(tsr-1). History: N.A.
F49F1.8,chrIV,-,4130496,4134624,-14.5,0.0,-13.3,1.7,21,48,27,19.0,19.0,F49F1.8,WBGene00018648,Public name for WBGene00018648. History: N.A.
Y105E8A.7c,chrI,+,14390320,14400209,-14.3,0.0,-17.1,2.4,7,16,6,20.0,21.0,Y105E8A.7c,WBGene00001147,Molecule name for WBGene00001147(eat-18). History: N.A.
Y59A8B.6,chrV,+,18022443,18042299,-14.3,0.0,-17.1,1.9,11,25,13,20.0,22.0,Y59A8B.6,WBGene00013343,Sequence name for WBGene00013343(prp-6). History: N.A.
C08B11.1,chrII,+,8017611,8020696,-14.3,0.0,-17.1,1.9,11,25,13,20.0,21.0,C08B11.1,WBGene00006996,Sequence name for WBGene00006996(zyg-11). History: N.A.
H28O16.1d,chrI,+,12652266,12654635,-14.3,0.0,-17.1,1.4,23,52,37,20.0,21.0,,,
R08D7.6b,chrIII,-,8974977,8981808,-14.2,0.0,-13.1,2.0,15,34,17,20.0,22.0,R08D7.6b,WBGene00011146,Molecule name for WBGene00011146(pde-2). History: N.A.
F11H8.4b,chrIII,-,7023576,7029130,-14.2,0.0,-13.1,2.0,15,34,17,21.0,21.0,F11H8.4b,WBGene00000872,Molecule name for WBGene00000872(cyk-1). History: N.A.
F33H2.2,chrI,+,15023127,15027739,-14.2,0.0,0.0,3.1,5,11,3,21.0,23.0,F33H2.2,WBGene00009366,Public name for WBGene00009366. History: N.A.
ZK909.3,chrI,+,14953475,14955477,-14.2,0.0,0.0,3.1,5,11,3,18.0,19.0,ZK909.3,WBGene00014148,Public name for WBGene00014148. History: N.A.
T12D8.7,chrIII,+,13624164,13625821,-14.2,0.0,0.0,3.1,5,11,3,21.0,21.0,T12D8.7,WBGene00006391,Sequence name for WBGene00006391(taf-9). History: N.A.
ZK1307.9,chrII,+,9649414,9650815,-14.2,0.0,0.0,3.1,5,11,3,19.0,19.0,ZK1307.9,WBGene00014250,Public name for WBGene00014250. History: N.A.
